simulation,sample_size,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,profit_factor,expectancy,net_profit,largest_win,largest_loss,avg_trade_duration
326,7000,-0.0009723454618204414,-0.0011060800915063736,-0.5458914868596706,384,0.3723958333333333,0.6553812299229702,-0.025349560306842683,-9.73423115782758,0.7866879342298904,-0.4796895763469292,14.921875
327,7000,-0.0010784428605882567,-0.0012067237665536687,-0.5758693839713945,375,0.36,0.6297570693842969,-0.028785165055558032,-10.794436895834263,0.7123104271692325,-0.9119216031387888,14.765333333333333
328,7000,-0.0008187330365220987,-0.0009799065947961934,-0.4576379920491798,361,0.39335180055401664,0.6875014302484479,-0.022708915166205983,-8.197918375000363,0.4463999219563116,-0.834579085722982,15.404432132777778
329,7000,-0.0009415742283234068,-0.0010609374835630053,-0.5366706799371205,340,0.3735294117647059,0.6412011414340519,-0.027693359656651935,-9.415742283261658,0.8794133831089657,-0.5621589444439228,15.885294117499999
330,7000,-0.001084562757423555,-0.0012588144731427746,-0.6159003920283388,383,0.360313315926893,0.6263140327478822,-0.0283464798864191,-10.85670179649852,0.6060761405099747,-0.6681054784652755,14.618798955555556
331,7000,-0.0009020230325144439,-0.00104115619596123,-0.5340928990827535,362,0.356353591160221,0.669027086554424,-0.024948843658221566,-9.031481404276203,0.8046363873173031,-0.5342673759811228,15.455801104722221
332,7000,-0.0005543288358385326,-0.0007271650846354197,-0.3162118694010981,371,0.41509433962264153,0.7784785296961853,-0.01496979493476576,-5.5537939207981,0.6930443330764683,-0.6558087891308599,15.231805929722222
333,7000,-0.0008517159417515359,-0.0009853322992863461,-0.4815818679419504,380,0.3736842105263158,0.6997287808608129,-0.022440912245152503,-8.527546653157948,0.6695905479913927,-0.4132867902781729,14.210526315555557
334,7000,-0.0009485992095271286,-0.0011080611300695671,-0.5282419859938531,377,0.3713527851458886,0.661456210492854,-0.025188401940413503,-9.49602753153589,0.869846235965897,-0.40800889934074996,14.989389920277779
335,7000,-0.0009685847772358102,-0.0010946023707159838,-0.48842943862120114,402,0.3706467661691542,0.6887082749972511,-0.024120076415892727,-9.696270719188874,1.0202639731522114,-0.7149484172739771,13.43034825861111
336,7000,-0.0010969282769325219,-0.0012876648456980305,-0.6078206244370898,377,0.3448275862068966,0.6125884435401793,-0.029125200103360005,-10.980200438966726,1.1164745387007202,-0.5818262811352006,14.413793103333333
337,7000,-0.0009862427313295484,-0.0011330232996852024,-0.5551077276111265,370,0.3621621621621622,0.6480949756917138,-0.02668385170509907,-9.873025130886656,1.0895761134473063,-0.7091495414482236,14.310810810555557
338,7000,-0.001298975793030695,-0.0014211185781492532,-0.7689734838947753,394,0.35279187817258884,0.5688707746889388,-0.032997046157875666,-13.000836186203014,0.473581837580318,-0.3913791301021251,13.324873096388888
339,7000,-0.0010356146116289892,-0.0011734360719359755,-0.6265252222793783,378,0.3492063492063492,0.6202475277818459,-0.02745121091544272,-10.376557726037348,0.5157585986812859,-0.6732152897112624,13.404761904722221
340,7000,-0.000924621032975665,-0.00110708006574547,-0.5240506017860611,390,0.3871794871794872,0.6774413257216623,-0.02373487174558242,-9.256599980777139,0.62036285378728,-0.6974487362902052,13.682051281944446
341,7000,-0.0008737964330874093,-0.0010040295434868313,-0.5145902750272643,372,0.3924731182795699,0.6798527820409698,-0.02351623197309275,-8.748038293990504,0.6975123530503654,-0.46472780582167444,14.588709677222223
342,7000,-0.00095318406717779,-0.0011083717658628,-0.5329849762792207,385,0.4051948051948052,0.6640010846253581,-0.024808779734794,-9.55138019789569,0.40855433250066153,-1.1477068875022371,14.301298701111111
343,7000,-0.0011506532857963976,-0.001217434013084312,-0.6581728474290939,387,0.36175710594315247,0.605297071195808,-0.02976114213527853,-11.51756200635279,0.47952164521940643,-0.7434418003389298,13.788113695000002
